,datetime,Temperature,Breaks,P_pan,P_viv,P_car,P_des,P_exp,P_imp,P_elec,P_comp,P_pur,P_pila,SOC,pres_buf,pres_comp,pres_pila,P_car_pila,s_elec,s_comp,s_pila,h2_total,h2_flow,h2_elec,h2b_nl,h2t_nl,h2_flow_pila
224,2024-03-27 11:53:10,13.1,,4943.8,385.0,393.5098809665722,0,3009.1111300891052,15.244574196986942,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216030.28318263876,180.739,0.2510263888888889,2651.7096507628094,686.3432566254816,0
225,2024-03-27 11:53:15,13.1,,5000.0,382.0,392.0735825410519,0,2984.748414440412,15.156435422107428,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216030.53460069431,181.021,0.2514180555555555,2651.7096507628094,686.3432566254816,0
226,2024-03-27 11:53:20,13.1,,5290.0,418.0,382.0844025454909,0,2897.208665596022,15.07693423938595,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216030.7861708332,181.1305,0.2515701388888889,2651.7096507628094,686.3432566254816,0
227,2024-03-27 11:53:25,13.1,,5196.9,413.0,386.25485353667375,0,2887.341649880254,14.799483238707527,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216031.0378930554,181.24,0.25172222222222224,2651.7096507628094,686.3432566254816,0
228,2024-03-27 11:53:30,13.1,,5120.0,405.0,393.1260585896869,0,3044.4576361330815,15.49209235062072,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216031.28963611097,181.255,0.25174305555555554,2651.7096507628094,686.3432566254816,0
229,2024-03-27 11:53:35,13.1,,5100.0,401.0,405.6912690920757,0,3220.791674624113,15.991236255194881,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216031.5416472221,181.448,0.25201111111111113,2651.7096507628094,686.3432566254816,0
230,2024-03-27 11:53:40,13.1,,5250.0,413.0,409.51858789135383,0,3289.1491002948405,16.225117419175355,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216031.79439444433,181.978,0.25274722222222223,2651.7096507628094,686.3432566254816,0
231,2024-03-27 11:53:45,13.1,,5380.0,376.0,418.3524433267228,0,3599.5585457197685,17.60890214956872,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216032.0472458332,182.053,0.25285138888888886,2651.7096507628094,686.3432566254816,0
232,2024-03-27 11:53:50,13.1,,5510.0,414.0,412.5022689473916,0,3487.2965373970214,17.24798273581303,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216032.30055138876,182.38,0.25330555555555556,2651.7096507628094,686.3432566254816,0
233,2024-03-27 11:53:55,13.1,,5460.0,417.0,407.57175785291855,0,3394.2564439140506,16.94186705324373,1274.7091659582898,0.0,50.0,0,100,28.4,84.7,-1,-1,1,0,0,216032.55361805542,182.208,0.25306666666666666,2651.7096507628094,686.3432566254816,0
